NAME,YEAR,DIRECTOR,RATINGS,REVIEWS,RATING_SCORES,POLARITY_SCORES,COMPOUND,COMPOUND_CLASSIFICATION,RATING_CLASSIFICATION
Good Will Hunting,1997,Gus Van Sant, ★★★★½ , math damon ***,4.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Past Lives,2023,Celine Song, ★★★★★ , a beautiful miracle of a film. how can something so delicately rendered feel like such a profound gut punch? ***,5.0,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.9156}",0.9156,pos,pos
Le Trou,1960,Jacques Becker, ★★★★½ , It's nice that they hired only deaf prison guards ***,4.5,"{'neg': 0.234, 'neu': 0.567, 'pos': 0.199, 'compound': -0.128}",-0.128,neu,pos
Barry Lyndon,1975,Stanley Kubrick, ★★★★★ ," Showed this to my mom today. She thinks 2001: A Space Odyssey is the most boring film of all time, she walked out of A Clockwork Orange and she never ceases to complain about every aspect in Dr. Strangelove.....And yet, she was utterly entranced for every second of Barry Lyndon, laughing and crying along with the ravishing imagery and the remarkable storytelling. Ladies and gentlemen, there's a Stanley Kubrick film for everyone. ***",5.0,"{'neg': 0.072, 'neu': 0.817, 'pos': 0.112, 'compound': 0.4968}",0.4968,neu,pos
Spider-Man: Across the Spider-Verse,2023,Joaquim Dos Santos, ★★★★★ , look out here comes the spider-sweep ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Alien,1979,Ridley Scott, ★★★★½ ," lesbians who sing ""you are my lucky star"" as they psych themselves up to kill an alien are valid ***",4.5,"{'neg': 0.184, 'neu': 0.706, 'pos': 0.11, 'compound': -0.4404}",-0.4404,neu,pos
Apur Sansar,1959,Satyajit Ray, ★★★★½ ," Chatterjee and Tagore have an electric chemistry from their first moments together, a tentative wedding night scene that takes place in an elaborately decorated bedroom. She stands still, expectant, on one side of the bed, while Apu paces back and forth on the other, asking across a sea of expensive fabrics and beads, “Can you live with a poor husband?”Full review here. ***",4.5,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.4767}",-0.4767,neu,pos
Yojimbo,1961,Akira Kurosawa, ★★★½ , They should make this movie but with a cowboy. ***,3.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
The Life and Death of Colonel Blimp,1943,Emeric Pressburger, ★★★★★ ," The ruthless force of nations rending through the years, the people see their countries changing into something unrecognisable but in fact it is they themselves who age, growing old beyond the days of pride for their noble cause, seeing war for what it is - a duel that only ends in loss. Yet the passage of time will carry love, friendship, her memory, delicately like a leaf on a lake, while the world marches on.Loved it VERY MUCH. ***",5.0,"{'neg': 0.084, 'neu': 0.668, 'pos': 0.248, 'compound': 0.9455}",0.9455,pos,pos
Singin' in the Rain,1952,Stanley Donen, ★★★★ , lina lamont kind of a girlboss? ***,4.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
The Celebration,1998,Thomas Vinterberg, ★★★★½ ," This is, straight up, a horror movie. ***",4.5,"{'neg': 0.349, 'neu': 0.472, 'pos': 0.179, 'compound': -0.4215}",-0.4215,neu,pos
Magnolia,1999,Paul Thomas Anderson, ★★★★½ ," Part Nine of Preparing (As Much As Humanly Possible) For Inherent ViceA messy, audacious, operatic, and deeply human study of forgiveness; a film made by a master filmmaker at his most vulnerable and tender. I've struggled with this film over the years, but I truly adore it now. Beautiful and passionate filmmaking at an unspeakably high level, Magnolia is an emotional rollercoaster. ***",4.5,"{'neg': 0.064, 'neu': 0.636, 'pos': 0.3, 'compound': 0.9664}",0.9664,pos,pos
Vertigo,1958,Alfred Hitchcock, ★★★ , Female characters minding their own business:Alfred Hitchcock: that’s nice [gunshot] ***,3.0,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",0.4215,neu,pos
Yi Yi,2000,Edward Yang, ★★★★★ ," probably the closest a movie has ever come to replicating the effect of john williams' stoner and that is the highest compliment i can ever give, staggeringly powerful, the kind of work that makes the world a better place, the kind of work that fills you with optimism and sadness and heartbreak but more than anything, this overwhelming sensation of love. a movie that makes me believe that life is worth it. ***",5.0,"{'neg': 0.053, 'neu': 0.748, 'pos': 0.2, 'compound': 0.9001}",0.9001,pos,pos
Cléo from 5 to 7,1962,Agnès Varda, ★★★★½ ," ""You seem to be waiting for something, rather than someone."" ***",4.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
The 400 Blows,1959,François Truffaut, ★★★★★ , this is my ladybird ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
To Be or Not to Be,1942,Ernst Lubitsch, ★★★★★ ," “Someone walked out on me. Tell me, Maria, am I losing my grip?”“Oh, of course not, darling. I'm so sorry.”“But he walked out on me.““Maybe he didn't feel well. Maybe he had to leave. Maybe he had a sudden heart attack.”“I hope so.““If he stayed he might have died.““Maybe he's dead already! Oh, darling, you're so comforting.” ***",5.0,"{'neg': 0.24, 'neu': 0.718, 'pos': 0.042, 'compound': -0.9091}",-0.9091,neg,pos
"4 Months, 3 Weeks and 2 Days",2007,Cristian Mungiu, ★★★★ ," Unforgettable. Infuriating. Tense. Gut-wrenching. Some of the most poignant uses of prolonged silence that I've ever seen in a film. A remarkable display of effective ""restrained"" filmmaking. Definitely falls into the category of simple-yet-complex.🌟Why I Love International Cinema🌟 ***",4.0,"{'neg': 0.117, 'neu': 0.607, 'pos': 0.275, 'compound': 0.8316}",0.8316,pos,pos
One Flew Over the Cuckoo's Nest,1975,Miloš Forman, ★★★★ , everyone in this movie has an incredible face ***,4.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Amadeus,1984,Miloš Forman, ★★★★½ , Why the fuck does Mozart seem like he would be a cringey Fortnite streamer? ***,4.5,"{'neg': 0.194, 'neu': 0.667, 'pos': 0.139, 'compound': -0.25}",-0.25,neu,pos
Whiplash,2014,Damien Chazelle, ★★★★★ ," Yep, still the best movie I've ever seen.#TerenceFletcherIsOverParty ***",5.0,"{'neg': 0.0, 'neu': 0.522, 'pos': 0.478, 'compound': 0.7506}",0.7506,pos,pos
Incendies,2010,Denis Villeneuve, ★★★★★ , this ended like 45 minutes ago and i'm still sitting here trying to recover ***,5.0,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.3612,neu,pos
Throne of Blood,1957,Akira Kurosawa, ★★★ , oh noooo toshiro mifune don't listen to ur wife and be a dick about the prophecy ur so sexy ahaha ***,3.0,"{'neg': 0.129, 'neu': 0.701, 'pos': 0.17, 'compound': 0.2654}",0.2654,neu,pos
Barbie,2023,Greta Gerwig, ★★★★★ , barbie is a ken out of ken ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Inglourious Basterds,2009,Quentin Tarantino, ★★★★★ , SHOSANNA DREYFUS I HAVE FEELINGS FOR YOU!!!!!!!!! ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
All That Jazz,1979,Bob Fosse, ★★★★★ , do you suppose stanley kubrick ever gets this depressed?? ***,5.0,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.6411}",-0.6411,neg,pos
Oppenheimer,2023,Christopher Nolan, ★★★½ , do what you love and you’ll never work a day in your life! ***,3.5,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6696}",0.6696,pos,pos
Underground,1995,Emir Kusturica, ★★★★½ ," This feeling. I know this feeling all too well. This is the one of a kind of mind-expanding experience that only occurred to me after I finished a Jodorowsky film, and it has happened again now. Absolute bonker stuffs happened in this film, and perhaps the only true thing to do is to label it as a satire and laugh it off but it just feels too important to do so. I'm definitely lacking in this sort of historical and cultural knowledge so I'm just going to accept my ignorance and shut tf up, read some reviews and treasure this transcendental experience for now. ***",4.5,"{'neg': 0.029, 'neu': 0.79, 'pos': 0.181, 'compound': 0.9241}",0.9241,pos,pos
Yojimbo,1961,Akira Kurosawa, ★★★★ , This is too fucking badass I couldn’t comprehend the badassery. ***,4.0,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2247}",-0.2247,neu,pos
La Haine,1995,Mathieu Kassovitz, ★★★★★ , A perfect FILM. THIS IS FILM. ***,5.0,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}",0.5719,pos,pos
Dog Day Afternoon,1975,Sidney Lumet, ★★★★★ , 70s al pacino could rob my bank any day and any night he wanted ***,5.0,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg,pos
One Flew Over the Cuckoo's Nest,1975,Miloš Forman, ★★★★★ , which one of you nuts has got any guts?? ***,5.0,"{'neg': 0.228, 'neu': 0.772, 'pos': 0.0, 'compound': -0.3939}",-0.3939,neu,pos
Oppenheimer,2023,Christopher Nolan, ★★★★★ , Second viewing. New Fiver Club confirmed. ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Army of Shadows,1969,Jean-Pierre Melville, ★★★★½ , this is a lot to take in. army of shadows is not your average war film. it's more like a spy thriller. but it's bleak. it's so bleak. this is the first film i've watched in a long time that managed to send genuine chills down my spine. there's images that will stay with me for a long time. it's a never ending cycle of resistance being squashed by oppressors to the point where it feels hopeless. soul crushing. ***,4.5,"{'neg': 0.088, 'neu': 0.848, 'pos': 0.064, 'compound': -0.6058}",-0.6058,neg,pos
Cure,1997,Kiyoshi Kurosawa, ★★★★½ ," You have to be one of two things to be able to portray psychopathy in cinema as chillingly well as Kurosawa does: a psychopath yourself, or a master of the craft. ***",4.5,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.2732}",0.2732,neu,pos
M,1931,Fritz Lang, ★★★★½ ," After seeing this 89 year old classic, its obvious just how influential M has been. It really is an early blueprint of how to do psychological thrillers. It expertly blurs the line between what is deemed right and wrong making your own moral compass feel foggy. Lang really captured this city's collective anger and thirst to catch the killer, in turn making all the citizens a single character trying to take down one man who walks among them. The final twenty minutes are breathtaking as we see everything converge to explore justice and morality within society.Fantastic film that was ahead of its time. ***",4.5,"{'neg': 0.095, 'neu': 0.815, 'pos': 0.089, 'compound': -0.4019}",-0.4019,neu,pos
War and Peace,1965,Sergey Bondarchuk, ★★★★½ , Sometimes you just wanna spend your Sunday watching a 7-hour movie. ***,4.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
The Sacrifice,1986,Andrei Tarkovsky, ★★★★★ , “…Sin is that which is unnecessary…”…. “If only we could stop fearing death “ ***,5.0,"{'neg': 0.471, 'neu': 0.529, 'pos': 0.0, 'compound': -0.8689}",-0.8689,neg,pos
The Departed,2006,Martin Scorsese, ★★★★★ , Phenomenal from beginning to end. A masterpiece that everybody must watch. ***,5.0,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6249}",0.6249,pos,pos
Heat,1995,Michael Mann, ★★★★★ , Brb getting Mann's face tattood on my tits ***,5.0,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",-0.2263,neu,pos
Your Name.,2016,Makoto Shinkai, ★★★★★ , ....... soOooOo does anyone know how to help a person who like can't stop crying ?? i'm asking for a friend ***,5.0,"{'neg': 0.0, 'neu': 0.532, 'pos': 0.468, 'compound': 0.9043}",0.9043,pos,pos
The Grand Budapest Hotel,2014,Wes Anderson, ★★★★★ , TAKE YOUR HANDS OFF MY LOBBY BOY ***,5.0,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2103}",0.2103,neu,pos
Lawrence of Arabia,1962,David Lean, ★★★★★ ," Four glorious hours of camels walking in extreme long shot. Oh, and also a pretty devastating subversion of the white man's burden narrative, in which a man hates his own people and tries to go native, but is always reminded he cannot, no matter his accomplishments. Another epic on the subject would have ended in a blaze of glory. This one stops in a pool of self-contempt. Almost makes one look forward to the release of Lawrence's death seen in the film's opening. ***",5.0,"{'neg': 0.154, 'neu': 0.724, 'pos': 0.122, 'compound': -0.2799}",-0.2799,neu,pos
The 400 Blows,1959,François Truffaut, ★★★★★ , DVD froze at the end but otherwise great film ***,5.0,"{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.7684}",0.7684,pos,pos
The Human Condition I: No Greater Love,1959,Masaki Kobayashi, ★★★★★ , A masterpiece. Flawless framing and staging. Sublime performances. Not a single moment wasted. One of the best directed films I’ve ever seen. ***,5.0,"{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.9352}",0.9352,pos,pos
Barbie,2023,Greta Gerwig, ★★★★★ ," historically inaccurate film, all of my barbies used to scissor ***",5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Shoplifters,2018,Hirokazu Kore-eda, ★★★★★ ," It's so well-performed and filmed.It really has every little bit of life in it.Great set-up, great pay-off.It all becomes a bit sad and degrading in the end, but so does life. ***",5.0,"{'neg': 0.127, 'neu': 0.8, 'pos': 0.073, 'compound': -0.2263}",-0.2263,neu,pos
The Green Mile,1999,Frank Darabont, ★★★★ ," The first two hours of this movie walked so the last hour could run.Some truly incredible moments, mostly near the end. Michael Clarke Duncan’s acting is everything I was hoping it would be. He is purely angelic and makes you want to believe in the greater morals of the universe. I suppose I wish it was a tad more consistent. The old Tom Hanks part didn’t work quite as well. While much of it was crucial, the pacing early on could have been slightly accelerated. Really great one. I can’t believe it took me this long. ***",4.0,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.9494}",0.9494,pos,pos
Pulp Fiction,1994,Quentin Tarantino, ★★★½ , tarantino's real masterpiece is inglorious basterds. tea is served! ***,3.5,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.6588}",0.6588,pos,pos
A Brighter Summer Day,1991,Edward Yang, ★★★★★ ," “No, we have all the time in the world.” ***",5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Eternity and a Day,1998,Theo Angelopoulos, ★★★½ ," ""There's just so much"" -Alexandros,- Film Club Ranked: boxd.it/3M2sqMortality. A slowly paced and loving reflection on mortality and what it means to live a fulfilled life. Eternity and a Day is a really pretty film with a serene vibe that gives you time to take in everything and really think about it. I'm not sure how this would play to a younger crowd, not constantly engaged in thinking about their demise, but I think the messages are conveyed powerfully enough that most people should like this. Bruno Ganz is fantastic and I love the ending. Yes. ***",3.5,"{'neg': 0.028, 'neu': 0.714, 'pos': 0.258, 'compound': 0.9778}",0.9778,pos,pos
Incendies,2010,Denis Villeneuve, ★★★★ , you ever watch a film and get annoyed at yourself for figuring out the plot twist too early ***,4.0,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3818}",-0.3818,neu,pos
Citizen Kane,1941,Orson Welles, ★★★★★ , i mean... it wasn't as good as shrek 2 (2004) but it was ok ***,5.0,"{'neg': 0.11, 'neu': 0.71, 'pos': 0.181, 'compound': 0.2725}",0.2725,neu,pos
Army of Shadows,1969,Jean-Pierre Melville, ★★★★★ , It makes perfect sense that this masterpiece is Roger Deakins favourite film 🎥💕 ***,5.0,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.8616}",0.8616,pos,pos
No Country for Old Men,2007,Joel Coen, ★★★★ , javier bardem is very terrifying to me ***,4.0,"{'neg': 0.363, 'neu': 0.637, 'pos': 0.0, 'compound': -0.6115}",-0.6115,neg,pos
Mishima: A Life in Four Chapters,1985,Paul Schrader, ★★★★★ ," Was astounded to discover in real time that 33% of this movie is about getting huge and looking perfect. Propelled into the stratosphere by the combined power of a Zoetrope set and a Philip Glass score. This and Ali, the two biopics. ***",5.0,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8316}",0.8316,pos,pos
Come and See,1985,Elem Klimov, ★★★★½ , (guy who's still buzzing from Spider-Man: Across the Spider-Verse) this is significantly less fun than Spider-Man: Across the Spider-Verse. ***,4.5,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4601}",0.4601,neu,pos
Where Is the Friend's House?,1987,Abbas Kiarostami, ★★★★★ , a little miracle of a movie i'd like to keep in my pocket to remind myself how important kindness is. simultaneously warmed and broke my heart. ***,5.0,"{'neg': 0.081, 'neu': 0.547, 'pos': 0.372, 'compound': 0.8445}",0.8445,pos,pos
Satantango,1994,Béla Tarr, ★★★★★ ," If an alien landed on earth and I should show it one film to represent cinema, I would show Satantango. It’s the purest form of cinema and utilizes the medium to the fullest. Satantango is a reflection of life, it's one of the greatest and most impressing pieces of any art ever made, it's so precious and stands out from literally any other film ever made. A bible amongst filmmakers, and a life-changing experience. ***",5.0,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.9292}",0.9292,pos,pos
The Father,2020,Florian Zeller, ★★★★ , florian zeller: hey olivia pls come act in my new movie olivia colman: no florian zeller: glenn close might be winning her first oscarolivia colman: when do we start ***,4.0,"{'neg': 0.065, 'neu': 0.796, 'pos': 0.139, 'compound': 0.3612}",0.3612,neu,pos
Heat,1995,Michael Mann, ★★★★★ ," ""You can ball my wife but you can't watch my television"" is the best line ever written and I pray to God I get to use it one day! ***",5.0,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.9134}",0.9134,pos,pos
Dead Poets Society,1989,Peter Weir, ★★★★★ ," the face neil makes after mr keating makes todd improvise that poem in class.... those were the most beautiful heart eyes i’ve ever seen, that boy was in love ***",5.0,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8553}",0.8553,pos,pos
Marcel the Shell with Shoes On,2021,Dean Fleischer Camp, ★★★★★ , isabella rosselini is after my life. ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Life Is Beautiful,1997,Roberto Benigni, ★★★★ , My dad? Idk him. Guido is my father now. ***,4.0,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.1027}",-0.1027,neu,pos
There Will Be Blood,2007,Paul Thomas Anderson, ★★ ," Pointless film, but Daniel Day-Lewis gives an astonishing performance as Waluigi ***",2.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Fanny and Alexander,1982,Ingmar Bergman, ★★★★½ ," “therefore, let us be happy while we are happy. let us be kind, generous, affectionate and good. it is necessary and not at all shameful to take pleasure in the little world.” nothing quite like feeling like you’re a part of a little world.. one you’re invited into, or build for yourself, or one that exists only in a dream. they start to overlap & seep into everything. here’s to protecting those spaces, and leaving the door open for others to find and escape into. ***",4.5,"{'neg': 0.059, 'neu': 0.656, 'pos': 0.285, 'compound': 0.9741}",0.9741,pos,pos
The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ , Michael did nothing wrong. He was dealing with trauma. ***,5.0,"{'neg': 0.21, 'neu': 0.599, 'pos': 0.191, 'compound': -0.0634}",-0.0634,neu,pos
"Sherlock, Jr.",1924,Buster Keaton, ★★★★ ," Hollywood should kickstart the Sherlock-Verse with a crossover movie featuring Buster Keaton, Benedict Cumberbatch and Robert Downey Jr. call itSherlock: No Way Holmes ***",4.0,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}",-0.296,neu,pos
Brief Encounter,1945,David Lean, ★★★★★ , My brief encounters at train stations are not nearly as romantic. ***,5.0,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.3089}",-0.3089,neu,pos
City of God,2002,Fernando Meirelles, ★★★★★ ," it felt weird seeing a lot of non-brazilians saying this is one of their favorite movies when i first started browsing through IMDb and Letterboxd. not that Cidade de Deus doesn't earn its enormous praise, but it's such a deeply brazilian movie! but i should have known: violence speaks all languages. shout out to Leandro Firmino for his flawless performance of one of the best villains of all-time, Zé Pequeno. ""quem falou que a boca é tua, rapá?"" ***",5.0,"{'neg': 0.139, 'neu': 0.703, 'pos': 0.158, 'compound': 0.1882}",0.1882,neu,pos
There Will Be Blood,2007,Paul Thomas Anderson, ★★★★★ , Horrifying portrait of capitalism as a blunt force of violent domination carried out by aliens pretending to be human. Fire literally shoots out of the ground like they've unleashed hell on earth. ***,5.0,"{'neg': 0.353, 'neu': 0.559, 'pos': 0.087, 'compound': -0.9169}",-0.9169,neg,pos
The Human Condition III: A Soldier's Prayer,1961,Masaki Kobayashi, ★★★★★ ," #RamadhanDay21this part was emotionally draining. The cinematography remained very stark in black and white. There is more tension in this part because history does not determine how it will come out. And there is more action in the flight sequences as characters come and go, and it's never clear when danger will suddenly emerge. ***",5.0,"{'neg': 0.08, 'neu': 0.873, 'pos': 0.047, 'compound': -0.2502}",-0.2502,neu,pos
Past Lives,2023,Celine Song, ★★★★★ , this being her directorial debut is crazy ***,5.0,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",-0.34,neu,pos
Before Sunset,2004,Richard Linklater, ★★★★★ , not to be dramatic but I don’t think I’ve ever had a life experience ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Yi Yi,2000,Edward Yang, ★★★★½ , think my heart just broke 🤭😢😭 ***,4.5,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neu,pos
Interstellar,2014,Christopher Nolan, ★★★★★ , i hate to sound like a cheesy old white lady but that shit is breathtaking bro ***,5.0,"{'neg': 0.302, 'neu': 0.458, 'pos': 0.24, 'compound': -0.3612}",-0.3612,neu,pos
Sunset Boulevard,1950,Billy Wilder, ★★★★½ ," A landmark of cinema and arguably a must watch. Timeless picture on human morality, greed, legacy, and the destructive impacts of the film industry. It’s easy to see why this film’s drab criticism of Hollywood was so groundbreaking at the time. ***",4.5,"{'neg': 0.233, 'neu': 0.683, 'pos': 0.084, 'compound': -0.8126}",-0.8126,neg,pos
Make Way for Tomorrow,1937,Leo McCarey, ★★★★½ ," 86/100Take any film with a flood scene in it, imagine that you could transfer that body of water into your tear ducts, and then watch Make Way for Tomorrow. Build your ark now, because you won't know what hit you. *tears start welling up*Not again.... ***",4.5,"{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.3818}",0.3818,neu,pos
Yojimbo,1961,Akira Kurosawa, ★★★½ ," i hope to one day be a fraction as cool as toshiro mifune was striding the length of town, his theme playing at his back. ***",3.5,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.7184}",0.7184,pos,pos
Marcel the Shell with Shoes On,2021,Dean Fleischer Camp, ★★★½ , Pretty fucked up that Marcel isn't real :( ***,3.5,"{'neg': 0.275, 'neu': 0.375, 'pos': 0.35, 'compound': 0.0531}",0.0531,neu,pos
Dog Day Afternoon,1975,Sidney Lumet, ★★★★★ , the second my short king is climbing on chairs to spray paint over the cameras I knew we were golden ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Tokyo Story,1953,Yasujirō Ozu, ★★★★★ ," ""If you come up to Tokyo again, mother, please come visit again.""""Yes... But I'm afraid I won't be coming back. I know you're busy, but do try to come to Onomichi.""""I'd really like to, if it were a bit nearer.""""You're right, it's so far away.""What nobody told me as an immature teenager was that the secret to appreciating Ozu is to live long enough to feel the years start going by faster and faster, and see everyone you know grow decades older, and watch everything you've ever known and loved steamrolled by change. ***",5.0,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.9386}",0.9386,pos,pos
The Green Mile,1999,Frank Darabont, ★★★★★ , RIP Michael Clarke DuncanI will remember you by this film.And I thank you for it. ***,5.0,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.3612,neu,pos
Dog Day Afternoon,1975,Sidney Lumet, ★★★★½ ," the fact that the real sonny and sal watched the godfather before going to rob the bank and then three years later, al pacino and john cazale ended up playing them?????????hollywood is absolutely insane I LOVE IT ***",4.5,"{'neg': 0.139, 'neu': 0.694, 'pos': 0.168, 'compound': 0.3353}",0.3353,neu,pos
Rosemary's Baby,1968,Roman Polanski, None , This review may contain spoilers. I can handle the truth.  I love that after the reveal Ruth Gordon just stays that way. It wasn’t an act. She’s just like that and additionally she worships Satan.  ***,0.0,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.886}",0.886,pos,neu
Double Indemnity,1944,Billy Wilder, ★★★★ ," The fact that this movie can make insurance agents look cool, smart, sexy, and more competent that most detectives is proof that everything Billy Wilder touches turns to gold. ***",4.0,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.8748}",0.8748,pos,pos
Taste of Cherry,1997,Abbas Kiarostami, ★★★★★ , never has the reason to why one shouldn’t kill oneself been put as simply or as beautifully as Bagheri’s question to Badii...”you want to give up the taste of cherries?” ***,5.0,"{'neg': 0.125, 'neu': 0.743, 'pos': 0.133, 'compound': -0.1779}",-0.1779,neu,pos
Magnolia,1999,Paul Thomas Anderson, ★★★★½ ," This review may contain spoilers. I can handle the truth.  it's 🐸 raining 🐸 frogs, 🐸 hallelujah 🐸  ***",4.5,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.743}",0.743,pos,pos
Persona,1966,Ingmar Bergman, ★★★½ , brb gotta go rewatch mulholland drive ***,3.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Sweet Smell of Success,1957,Alexander Mackendrick, ★★★★ , Lately I’ve been so immersed in Succession and all its deliciously venomous dealings that the Sweet Smell of Success felt like a quaint stroll through the park in comparison. The confluence of family and business never makes for a smooth ride but always a splendid display. ***,4.0,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.915}",0.915,pos,pos
The Grand Budapest Hotel,2014,Wes Anderson, ★★★★ , This review may contain spoilers. I can handle the truth.  willem dafoe: this bitch emptyjeff goldblum: thats my cat-willem dafoe: yₑₑₑT  ***,4.0,"{'neg': 0.174, 'neu': 0.736, 'pos': 0.089, 'compound': -0.4939}",-0.4939,neu,pos
Dead Poets Society,1989,Peter Weir, ★★★★ , can’t believe these cookie cutter white boys and their manic pixie dream teacher got me crying in the club rn ***,4.0,"{'neg': 0.129, 'neu': 0.788, 'pos': 0.083, 'compound': -0.2732}",-0.2732,neu,pos
Double Indemnity,1944,Billy Wilder, ★★★★★ ," That brief period where Wilder seemed to be out of fashion among younger critics for being ""a writer first and director second"" sure seems even more ridiculous in immediate retrospect, doesn't it? An excoriating noir not among the underworld but in high-society, where the real amoral money hounds live. Every shot is perfectly framed to make upper-middle-class homes look like desiccated, heavily contested battlegrounds. ***",5.0,"{'neg': 0.114, 'neu': 0.748, 'pos': 0.138, 'compound': 0.5998}",0.5998,pos,pos
An Autumn Afternoon,1962,Yasujirō Ozu, ★★★★½ ," One of Ozu's most formally accomplished works. It's virtually flawless. Unlike many of his other late period films, this film actually isn't about the larger clash of traditional and modern values, as the characters are more complex, not as rigidly defined. Hence, there are not as many close-ups here, rendering the underlying emotions that much more devastating. A remarkable achievement. ***",4.5,"{'neg': 0.063, 'neu': 0.738, 'pos': 0.199, 'compound': 0.8394}",0.8394,pos,pos
